⚠️ better-sqlite3 not available, using stdlib sqlite3
📊 Total narrators missing translations: 21,658
📊 Fetched 21658 narrators to process

[Workers: 1] Starting 2166 batches

[1/2166] ✓ wrote 8, skipped 2
[2/2166] ✓ wrote 9, skipped 1
[3/2166] ✓ wrote 10, skipped 0
[4/2166] ✓ wrote 9, skipped 1
[5/2166] ✓ wrote 10, skipped 0
[6/2166] ✓ wrote 10, skipped 0
[7/2166] ✓ wrote 10, skipped 0
[8/2166] ✓ wrote 10, skipped 0
[9/2166] ✓ wrote 10, skipped 0
[10/2166] ✓ wrote 10, skipped 0
[11/2166] ✓ wrote 10, skipped 0
[12/2166] ✓ wrote 10, skipped 0
[13/2166] ✓ wrote 9, skipped 1
[14/2166] ✓ wrote 10, skipped 0
[15/2166] ✓ wrote 10, skipped 0
[16/2166] ✓ wrote 10, skipped 0
[17/2166] ✓ wrote 10, skipped 0
[18/2166] ✓ wrote 10, skipped 0
[19/2166] ✓ wrote 10, skipped 0
[20/2166] ✓ wrote 10, skipped 0
[21/2166] ✓ wrote 10, skipped 0
[22/2166] ✓ wrote 10, skipped 0
[23/2166] ✓ wrote 10, skipped 0
[24/2166] ✓ wrote 10, skipped 0
[25/2166] ✓ wrote 10, skipped 0
[26/2166] ✓ wrote 10, skipped 0
[27/2166] ✓ wrote 10, skipped 0
[28/2166] ✓ wrote 10, skipped 0
[29/2166] ✓ wrote 10, skipped 0
[30/2166] ✓ wrote 10, skipped 0
[31/2166] ✓ wrote 10, skipped 0
[32/2166] ✓ wrote 10, skipped 0
[33/2166] ✓ wrote 10, skipped 0
[34/2166] ✓ wrote 10, skipped 0
[35/2166] ✓ wrote 10, skipped 0
[36/2166] ✓ wrote 10, skipped 0
[37/2166] ✓ wrote 10, skipped 0
[38/2166] ✓ wrote 10, skipped 0
[39/2166] ✓ wrote 10, skipped 0
[40/2166] ✓ wrote 10, skipped 0
[41/2166] ✓ wrote 10, skipped 0
[42/2166] ✓ wrote 10, skipped 0
[43/2166] ✓ wrote 10, skipped 0
[44/2166] ✓ wrote 10, skipped 0
[45/2166] ✓ wrote 9, skipped 1
[46/2166] ✓ wrote 10, skipped 0
[47/2166] ✓ wrote 10, skipped 0
[48/2166] ✓ wrote 10, skipped 0
[49/2166] ✓ wrote 10, skipped 0
[50/2166] ✓ wrote 10, skipped 0
[51/2166] ✓ wrote 10, skipped 0
[52/2166] ✓ wrote 10, skipped 0
[53/2166] ✓ wrote 10, skipped 0
[54/2166] ✓ wrote 10, skipped 0
[55/2166] ✓ wrote 10, skipped 0
[56/2166] ✓ wrote 10, skipped 0
[57/2166] ✓ wrote 10, skipped 0
[58/2166] ✓ wrote 10, skipped 0
[59/2166] ✓ wrote 10, skipped 0
[60/2166] ✓ wrote 10, skipped 0
[61/2166] ✓ wrote 10, skipped 0
[62/2166] ✓ wrote 10, skipped 0
[63/2166] ✓ wrote 10, skipped 0
[64/2166] ✓ wrote 10, skipped 0
[65/2166] ✓ wrote 10, skipped 0
[66/2166] ✓ wrote 10, skipped 0
[67/2166] ✓ wrote 10, skipped 0
[68/2166] ✓ wrote 10, skipped 0
[69/2166] ✓ wrote 10, skipped 0
[70/2166] ✓ wrote 10, skipped 0
[71/2166] ✓ wrote 10, skipped 0
[72/2166] ✓ wrote 10, skipped 0
[73/2166] ✓ wrote 10, skipped 0
[74/2166] ✓ wrote 10, skipped 0
[75/2166] ✓ wrote 10, skipped 0
[76/2166] ✓ wrote 10, skipped 0
[77/2166] ✓ wrote 10, skipped 0
[78/2166] ✓ wrote 10, skipped 0
[79/2166] ✓ wrote 10, skipped 0
[80/2166] ✓ wrote 10, skipped 0
[81/2166] ✓ wrote 10, skipped 0
[82/2166] ✓ wrote 10, skipped 0
[83/2166] ✓ wrote 10, skipped 0
[84/2166] ✓ wrote 10, skipped 0
[85/2166] ✓ wrote 10, skipped 0
[86/2166] ✓ wrote 10, skipped 0
